id_jugador,nombre,apellido,edad,fecha_nacimiento,lugar_nacimiento,pais_nacimiento,nacionalidad,altura,peso,lesionado,foto,id_equipo,nombre_equipo,logo_equipo,id_liga,nombre_liga,pais_liga,logo_liga,temporada,posicion,partidos_jugados,partidos_titular,minutos_jugados,rating,capitan,goles_total,goles_concedidos,asistencias,salvadas,pases_total,pases_key,pases_precision,tiros_total,tiros_al_arco,goles_pie_izq,goles_pie_der,goles_cabeza,goles_otros,tarjetas_amarillas,tarjetas_rojas,tarjetas_doble_amarilla,penales_anotados,penales_fallados,penales_atajados,regates_intentos,regates_exitosos,regates_fallidos,duelos_total,duelos_ganados,faltas_cometidas,faltas_recibidas
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Arauca,Colombia,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Attacker,0,13.0,1222.0,6.553571,False,2.0,0.0,,,386.0,9.0,,28.0,13.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,41.0,18.0,,157.0,68.0,18.0,33.0
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Arauca,Colombia,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,241,Copa Colombia,Colombia,https://media.api-sports.io/football/leagues/241.png,2023,Attacker,0,2.0,195.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Arauca,Colombia,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Attacker,0,2.0,155.0,6.633333,False,1.0,0.0,,,45.0,,,2.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,11.0,5.0,,26.0,8.0,5.0,2.0
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Arauca,Colombia,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,2023,Attacker,0,0.0,3.0,6.300000,False,0.0,0.0,,,1.0,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,1.0,,,3.0,,,
265966,R. Rosales,Rosales Martínez,23,2001-01-31,Cartagena,Colombia,Colombia,181 cm,70 kg,False,https://media.api-sports.io/football/players/265966.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Attacker,0,6.0,503.0,6.637500,False,0.0,0.0,,,169.0,1.0,,,,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,6.0,4.0,,49.0,22.0,9.0,5.0
265966,R. Rosales,Rosales Martínez,23,2001-01-31,Cartagena,Colombia,Colombia,181 cm,70 kg,False,https://media.api-sports.io/football/players/265966.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,241,Copa Colombia,Colombia,https://media.api-sports.io/football/leagues/241.png,2023,Attacker,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265966,R. Rosales,Rosales Martínez,23,2001-01-31,Cartagena,Colombia,Colombia,181 cm,70 kg,False,https://media.api-sports.io/football/players/265966.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Attacker,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
265966,R. Rosales,Rosales Martínez,23,2001-01-31,Cartagena,Colombia,Colombia,181 cm,70 kg,False,https://media.api-sports.io/football/players/265966.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Attacker,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265966,R. Rosales,Rosales Martínez,23,2001-01-31,Cartagena,Colombia,Colombia,181 cm,70 kg,False,https://media.api-sports.io/football/players/265966.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,2023,Attacker,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
265969,C. Romero,Romero Jiménez,23,2001-06-21,Mahates,Colombia,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
